,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
60,CA,13,Barbara Lee,D,True,1,90.4,1828213.0,1750142.0,1760046.0,99.43728743453296,06
61,CA,13,Nikka Piterman,R,False,0,9.6,9839.0,9904.0,1760046.0,0.562712565467039,06
62,CA,14,Jackie Speier,D,True,1,79.3,942934.0,919599.0,919599.0,100.0,06
63,CA,15,Eric Swalwell,D,True,1,70.9,2807774.0,3977839.0,3977839.0,100.0,06
64,CA,16,Jim Costa,D,True,1,59.3,2135525.0,1835244.0,2100608.0,87.3672765218451,06
65,CA,16,Kevin Cookingham,R,False,0,40.7,265364.0,265364.0,2100608.0,12.632723478154897,06
66,CA,17,Ro Khanna,D,True,1,71.3,3837982.0,2455457.0,2630472.0,93.34663132700139,06
67,CA,17,Ritesh Tandon,R,False,0,28.7,175536.0,175015.0,2630472.0,6.653368672998611,06
68,CA,18,Anna Eshoo,D,True,1,63.2,2114909.0,2059158.0,2751096.0,74.84864214116847,06
69,CA,18,Rishi Kumar,D,False,0,36.8,674383.0,691938.0,2751096.0,25.151357858831535,06
70,CA,19,Zoe Lofgren,D,True,1,71.7,1755555.0,1731700.0,1743242.0,99.33790030299866,06
71,CA,19,Justin Aguilera,R,False,0,28.3,9112.0,11542.0,1743242.0,0.6620996970013343,06
72,CA,20,Jimmy Panetta,D,True,1,76.8,2009894.0,1592671.0,1657618.0,96.08190789433995,06
73,CA,20,Jeff Gorman,R,False,0,23.2,67634.0,64947.0,1657618.0,3.9180921056600497,06
74,CA,21,TJ Cox,D,True,0,49.6,5695157.0,5694005.0,9676592.0,58.84308235792105,06
75,CA,21,David Valadao,R,False,1,50.4,4067880.0,3982587.0,9676592.0,41.15691764207895,06
76,CA,22,Devin Nunes,R,True,1,54.2,26825212.0,20156093.0,25218278.0,79.92652392839828,06
77,CA,22,Phil Arballo,D,False,0,45.8,5091451.0,5062185.0,25218278.0,20.073476071601718,06
78,CA,23,Kevin McCarthy,R,True,1,62.1,27780644.0,24265583.0,25930956.0,93.5776644717611,06
79,CA,23,Kim Mangone,D,False,0,37.9,1671101.0,1665373.0,25930956.0,6.4223355282389125,06
80,CA,24,Salud Carbajal,D,True,1,58.7,2117836.0,1451622.0,2719821.0,53.37196822879152,06
81,CA,24,Andy Caldwell,R,False,0,41.3,1298798.0,1268199.0,2719821.0,46.62803177120847,06
82,CA,25,Mike Garcia,R,True,1,50.0,9962507.0,9584648.0,15393125.0,62.26577124527996,06
83,CA,25,Christy Smith,D,False,0,50.0,5977734.0,5808477.0,15393125.0,37.73422875472004,06
84,CA,26,Julia Brownley,D,True,1,60.6,1976695.0,1314677.0,1381885.0,95.13649833379768,06
85,CA,26,Ronda Kennedy,R,False,0,39.4,246226.0,67208.0,1381885.0,4.863501666202326,06
86,CA,27,Judy Chu,D,True,1,69.8,1213706.0,956298.0,995457.0,96.0662288777918,06
87,CA,27,Johnny Nalbandian,R,False,0,30.2,39584.0,39159.0,995457.0,3.933771122208192,06
88,CA,28,Adam Schiff,D,True,1,72.7,19382855.0,10188664.0,13978691.0,72.8871108174578,06
89,CA,28,Eric Early,R,False,0,27.3,4085322.0,3790027.0,13978691.0,27.112889182542197,06
90,CA,29,Tony Cardenas,D,True,1,56.6,1419697.0,1213588.0,1213588.0,100.0,06
